model,feature,coefficient,coefficient_lower_95,coefficient_upper_95,hazard_ratio,hazard_ratio_lower_95,hazard_ratio_upper_95,standard_error,z_statistic,p_value,number_of_firms,number_of_events,penalizer,l1_ratio
Time-Varying Cox,operating_cash_flow_ratio,0.029576205525622217,-0.4444313224339634,0.5035837334852078,1.0300179255385813,0.6411888020609335,1.6546404483682473,0.24184501944856973,0.12229404431424247,0.9026661485450509,88,40,0.0,0.0
Time-Varying Cox,log_total_assets,-0.23761846592553348,-0.5994042721476125,0.12416734029654553,0.7885034746539488,0.5491386758750432,1.1322053187213994,0.18458798685883993,-1.2872910635687662,0.1979928571627823,88,40,0.0,0.0
Time-Varying Cox,operating_margin,-0.1546032435738936,-0.441198653539699,0.1319921663919118,0.8567550331241917,0.6432649070287152,1.141099380306888,0.146224834857392,-1.0572981239792323,0.29037554919376674,88,40,0.0,0.0
Ridge Time-Varying Cox,leverage,0.1715389892198388,0.05712948752593612,0.28594849091374147,1.1871304271191863,1.0587929019928404,1.3310238936619836,0.05837326736427313,2.938656631114464,0.0032963804886655067,88,40,0.25,0.0
Ridge Time-Varying Cox,current_ratio,-0.08928702084469639,-0.2125826078906759,0.03400856620128313,0.9145830315044836,0.8084935256179945,1.0345934692260625,0.0629070676902838,-1.4193480021083078,0.15579758394741644,88,40,0.25,0.0
Ridge Time-Varying Cox,cash_ratio,-0.02472076929789056,-0.14817630232227835,0.09873476372649723,0.975582286525734,0.8622790797361498,1.1037734999601407,0.06298867428084867,-0.39246371796408425,0.694715614257976,88,40,0.25,0.0
Ridge Time-Varying Cox,return_on_assets,-0.03897970036123516,-0.15903981122022465,0.08108041049775433,0.9617702325365024,0.8529624008191959,1.0844580948760862,0.06125628420012221,-0.6363379834449278,0.5245561529114094,88,40,0.25,0.0
Ridge Time-Varying Cox,revenue_growth,-0.012851550656099983,-0.1350441911411073,0.10934108982890733,0.9872306778893327,0.8736773020380019,1.1155427857543663,0.06234432951260701,-0.20613824475409903,0.8366829252500823,88,40,0.25,0.0
Ridge Time-Varying Cox,operating_cash_flow_ratio,-0.012550902524805745,-0.13542203252228857,0.11032022747267708,0.9875275315698127,0.87334725295652,1.1166355906050105,0.06269050399225426,-0.20020420519121165,0.8413208784879465,88,40,0.25,0.0
Ridge Time-Varying Cox,log_total_assets,-0.019402115688893735,-0.14005961811781092,0.10125538674002346,0.9807848939438907,0.8693064074420659,1.1065592062286005,0.061561081418152676,-0.3151685324873546,0.7526336963707483,88,40,0.25,0.0
Ridge Time-Varying Cox,operating_margin,-0.07101951904554114,-0.18995544831767391,0.04791641022659161,0.931443711057939,0.8269959771847025,1.049082959052432,0.06068271162648099,-1.1703418839073323,0.2418634130136028,88,40,0.25,0.0
